;Conexion corta;;;;;;;;Conexion larga;;;;;;;Rint del amperimetro;;;;;
_tabla;r;Vr;Ar[mA];Rcalc;Rmed;deltaR;;_tabla;r;Vr;Ar;Rcalc;Rmed;deltaR;;R;V;Icalc;Iamp;Vamp;Ramp
;330.00;4.80;15.29;313.93;325.00;11.07;;;330.00;5.00;15.26;327.65;325.00;2.65;;1.50E+05;5;3.33E-05;1.48E-02;0.145;9.83E+00
;470.00;4.80;10.69;449.02;469.00;19.98;;;470.00;5.00;10.66;469.04;469.00;0.04;;;;;escala 20m;(escala .25);
;680.00;4.90;7.32;669.40;669.00;0.40;;;680.00;5.00;7.51;665.78;669.00;3.22;;Rmed;LEMD3x;;;;
;1k;4.90;5.19;944.12;979.00;34.88;;;1k;5.00;5.16;968.99;979.00;10.01;;Amperim;LEMD6;;;;
;1.5k;4.90;3.40;1441.18;1503.00;61.82;;;1.5k;5.00;3.37;1483.68;1503.00;19.32;;Voltim;LEMA1;;;;
;1.8k;4.90;2.89;1695.50;1770.00;74.50;;;1.8k;5.00;2.86;1748.25;1770.00;21.75;;Fuente;LEFA3;;;;
;2.2k;4.90;2.38;2058.82;2160.00;101.18;;;2.2k;5.00;2.35;2127.66;2160.00;32.34;;;;Rvoltimetro;2.00E+05;;
;2.7k;4.90;1.93;2538.86;2670.00;131.14;;;2.7k;5.00;1.90;2631.58;2670.00;38.42;;;;R0;1402.177483;;
;3.9k;4.90;1.34;3656.72;3860.00;203.28;;;3.9k;5.00;1.32;3787.88;3860.00;72.12;;;;;;;
;6.7k;4.90;0.79;6202.53;6600.00;397.47;;;6.7k;5.00;0.77;6493.51;6600.00;106.49;;Vfuente;5;;;;
;12k;5.00;0.46;10869.57;11790.00;920.43;;;12k;5.00;0.43;11627.91;11790.00;162.09;;;;;;;
;27k;5.00;0.22;22727.27;26900.00;4172.73;;;27k;5.00;0.19;26315.79;26900.00;584.21;;;;;;;
;39k;5.00;0.16;31250.00;38500.00;7250.00;;;39k;5.00;0.13;38461.54;38500.00;38.46;;;;;;;
;47k;5.00;0.14;35714.29;46400.00;10685.71;;;47k;5.00;0.11;45454.55;46400.00;945.45;;;;;;;
;56k;5.00;0.12;41666.67;55500.00;13833.33;;;56k;5.00;0.09;55555.56;55500.00;55.56;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
